SRE;MUNICÍPIO;INEP;ESCOLA;ANO;META;IDEBES
CARAPINA;SERRA;32035519;EEEFM PROF JOAO LOYOLA;2023;4,12;4,04
CARAPINA;VITORIA;32040725;EEEFM MAJOR ALFREDO PEDRO RABAYOLLI;2023;3,73;4,21
CARAPINA;VITORIA;32040334;EEEFM IRMA MARIA HORTA;2023;4,64;4,63
CARAPINA;SERRA;32037180;EEEFM JACARAIPE;2023;3,44;3,62
CARAPINA;VITORIA;32040784;CEEMTI PROF FERNANDO DUARTE RABELO;2023;4,51;4,72
CARAPINA;SERRA;32074425;EEEFM ANTONIO JOSE PEIXOTO MIGUEL;2023;4,17;4,12
CARIACICA;CARIACICA;32033796;EEEFM MARIA DE LOURDES POYARES LABUTO;2023;4,04;3,79
CARIACICA;CARIACICA;32034652;EEEFM JESUS CRISTO REI;2023;4,24;4,2
CARIACICA;CARIACICA;32034016;EEEFM ANA LOPES BALESTRERO;2023;3,97;4,38
CARIACICA;CARIACICA;32034644;EEEFM JOSE VITOR FILHO;2023;4,32;4,36
CARIACICA;CARIACICA;32033940;EEEFM SATURNINO RANGEL MAURO;2023;4,12;4,42
LINHARES;LINHARES;32022360;EEEM EMIR DE MACEDO GOMES;2023;4,19;4,37
LINHARES;ARACRUZ;32073330;EEEFM MISAEL PINTO NETTO;2023;4,23;4,17
SAO MATEUS;SAO MATEUS;32018169;EEEM CECILIANO ABEL DE ALMEIDA;2023;5;5,17
VILA VELHA;GUARAPARI;32043651;EEEFM ZENOBIA LEAO;2023;3,63;4,2
VILA VELHA;VILA VELHA;32039867;EEEM ORMANDA GONCALVES;2023;4,56;4,18
BARRA DE SÃO FRANCISCO;ECOPORANGA;32003005;EEEFM ECOPORANGA;2024;4,16;4,63
CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;32052529;EEEFM PRESIDENTE GETULIO VARGAS;2024;4,73;4,94
CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;32052103;EEEM CEI ATTILA DE ALMEIDA MIRANDA;2024;4,79;4,83
CARAPINA;VITORIA;32040067;EEEM COLEGIO ESTADUAL DO ESPIRITO SANTO;2024;4,45;4,37
CARAPINA;VITORIA;32041560;EEEFM ALMIRANTE BARROSO;2024;4,44;4,31
CARAPINA;VITORIA;32063199;EEEFM ELZA LEMOS ANDREATTA;2024;4,42;4,26
CARAPINA;SERRA;32035519;EEEFM PROF JOAO LOYOLA;2024;4,28;4,68
CARAPINA;VITORIA;32040725;EEEFM MAJOR ALFREDO PEDRO RABAYOLLI;2024;4,47;4,36
CARAPINA;VITORIA;32040334;EEEFM IRMA MARIA HORTA;2024;4,73;4,62
CARAPINA;SERRA;32037180;EEEFM JACARAIPE;2024;3,82;4,08
CARAPINA;VITORIA;32040784;CEEMTI PROF FERNANDO DUARTE RABELO;2024;4,82;4,5
CARAPINA;SERRA;32074425;EEEFM ANTONIO JOSE PEIXOTO MIGUEL;2024;4,37;4,97
CARIACICA;CARIACICA;32033796;EEEFM MARIA DE LOURDES POYARES LABUTO;2024;3,99;4,71
CARIACICA;CARIACICA;32034652;EEEFM JESUS CRISTO REI;2024;4,45;4,55
CARIACICA;CARIACICA;32034016;EEEFM ANA LOPES BALESTRERO;2024;4,55;4,56
CARIACICA;CARIACICA;32034644;EEEFM JOSE VITOR FILHO;2024;4,55;4,72
CARIACICA;CARIACICA;32033940;EEEFM SATURNINO RANGEL MAURO;2024;4,56;4,48
LINHARES;LINHARES;32022360;EEEM EMIR DE MACEDO GOMES;2024;4,55;4,7
LINHARES;ARACRUZ;32073330;EEEFM MISAEL PINTO NETTO;2024;4,42;4,83
SAO MATEUS;SAO MATEUS;32018169;EEEM CECILIANO ABEL DE ALMEIDA;2024;5,27;4,81
VILA VELHA;GUARAPARI;32043651;EEEFM ZENOBIA LEAO;2024;4,46;4,39
VILA VELHA;VILA VELHA;32039867;EEEM ORMANDA GONCALVES;2024;4,43;4,87
